,,Name,Location,Cat #,Web
348,,Tetrachloroisophthalonitrile,Jeff 607,1897-45-6,sigmaaldrich.com
349,,Tetracycline hydrochloride,Chemical drawer and back -20 663,58346,emdmillipore.com
350,,Thermolysin,Side -20 663,P1512-25MG,sigmaaldrich.com
351,,Thiamine hydrochloride,Chemical cabinet 663,Bp92-100,fishersci.com
352,,Thiamine hydrochloride hydrate,Fume hood 663,T0181,tcichemicals.com
353,,Thiamine pyrophosphate,Side -20 663,C8754-25G,sigmaaldrich.com
354,,Thiamphenicol,Chemical drawer 663,156846 ,mpbio.com
355,DL-,Threonine,Chemical drawer 663,103050,mpbio.com
356,,Thymidine,Chemical drawer Fridge and Back -20 663,T9250-5G,sigmaaldrich.com
357,,Trehalos 6-phosphate dipotassium salt,Side -20 663,T4272-25G,sigmaaldrich.com
358,,Trehalose dihydrate,Chemical drawer 663,625625-50GM,emdmillipore.com
359,,Tricine,Chemical cabinet 663,T5816-1006,sigmaaldrich.com
360,,Tricine buffer,Fridge 607,161-0744,bio-rad.com
361,,Tris base ultrapure,Large chemical cabinet 663,T60040-1000.0,rpicorp.com
362,,Tris hydrochloride,Chemical cabinet 663,15506-017,thermofisher.com
363,,Tris MW=121,Chemical cabinet 663,049-500G,us.vwr.com
364,,Triton-X-100,Chemical cabinet 663,t8787-250ML,sigmaaldrich.com
365,,Trypsin,Back -20 663,T4799-5G,sigmaaldrich.com
366,,Tryptic soy broth,Annie's bench 607,211825,bdbiosciences.com
367,,Trypticase peptone,Chemical cabinet 663,211921,bdbiosciences.com
368,,Tryptone bacto,Chemical cabinet 663,211705,bdbiosciences.com
369,L-(-),Tryptophan,Chemical drawer and fume hood 663,140590251,fishersci.com
370,,Tryptose blood agar base,Chemical cabinet 663,223220,bdbiosciences.com
371,,Tween 20,Chemical cabinet 663 and Nakil's bench 607,0777-1L,us.vwr.com
372,,Tween 80,Chemical cabinet 663,0442-1L,us.vwr.com
373,L-,Tyrosine,Chemical drawer Fume hood and Large chemical cabinet 663,T3754-50G,sigmaaldrich.com
374,,Uracil,Chemical drawer 663,U1128-25G,sigmaaldrich.com
375,,Urea,chemical cabinet 663,8648,mallinckrodt.com
376,,Uridine,Chemical drawer 663,U3003-5G,sigmaaldrich.com
377,Cis-,Vaccenic acid,Side -20 663,103223,mpbio.com
378,L-,Valine,Chemical drawer and fume hood 663,A12770,alfa.com
379,,Vancomycin,Fridge 663,BP2958-1,fishersci.com
380,,Vancomycin hydrochloride,Fridge 663,J62790,alfa.com
381,,Vitamin B12,Frdige 663,V2876-1G,sigmaaldrich.com
382,,Vitamin K1,Fridge 663,V3501-5G,sigmaaldrich.com
383,,Wilkins Chalgren Anaerobic agar,Chemical cabinet 663,CMK0619,thermofisher.com
384,,Xanthine,Chemical drawer 663,X737510,sigmaaldrich.com
385,,X-gal powder,Fridge 663,C-5687-1G,bioexpress.com
386,,Xylan,Chemical drawer 663,X0064,tcichemicals.com
387,,Xylene Cyanole F.F.,Chemical drawer 663,806801,mpbio.com
388,D-(+),Xylose,Chemical cabinet 663,X0019,tcichemicals.com
389,,Yeast extract bacto,Chemical cabinet 663 and Annies' bench 607,BP1422-500,fishersci.com
390,,Yeast nitrogen base without amino acids,Chemical cabinet 663,291940,bdbiosciences.com
391,,Zinc Acetate dihydrate,Chemical cabinet 663,3658-500G,sigmaaldrich.com
392,,Zinc chloride,Chemical cabinet 663,208056-100G,sigmaaldrich.com
393,,Zinc sulfate heptahydrate,Chemical drawer 663,24750-100G,sigmaaldrich.com
